,id,rank,name,position_id,position_name,level
1187,136,1188,Cuco,30,df,1.0
1188,648,1189,Zeenyoo,20,mf,1.0
1189,904,1190,Lugol,10,fw,1.0
1190,1160,1191,Atlanty,20,mf,1.0
1191,1416,1192,jonghak,20,mf,1.0
1192,137,1193,Yaami,10,fw,1.0
1193,905,1194,DfideliZ,20,mf,1.0
1194,1417,1195,nrc_supreme,10,fw,1.0
1195,650,1196,Olivier,10,fw,1.0
1196,906,1197,GioMF18,20,mf,1.0
1197,1162,1198,cherilpro2008,10,fw,1.0
1198,1418,1199,chaves,10,fw,1.0
1199,651,1200,Olivierrtfg,10,fw,1.0
1200,907,1201,zkn3w,10,fw,1.0
1201,1163,1202,Julin,20,mf,1.0
1202,1419,1203,Hava,20,mf,1.0
1203,396,1204,MartinXD12345,10,fw,1.0
1204,652,1205,Bouza,10,fw,1.0
1205,1164,1206,Dan.M,20,mf,1.0
1206,1420,1207,ManezinGaucho,20,mf,1.0
1207,397,1208,ATHAMMS,10,fw,1.0
1208,653,1209,SamukelYT,10,fw,1.0
1209,909,1210,Pichulita,10,fw,1.0
1210,1421,1211,pr7,10,fw,1.0
1211,142,1212,wagnerbr,10,fw,1.0
1212,398,1213,CacaduBR,10,fw,1.0
1213,910,1214,kazzo,10,fw,1.0
1214,1166,1215,Anna,10,fw,1.0
1215,1422,1216,aaaaaaaaaaaaae,10,fw,1.0
1216,911,1217,UnclePec,20,mf,1.0
1217,1167,1218,SneekyB,20,mf,1.0
1218,1423,1219,ÓÃÊÖÌßÇò,20,mf,1.0
1219,400,1220,Yone13,10,fw,1.0
1220,656,1221,Balla,20,mf,1.0
1221,1168,1222,Alicia,10,fw,1.0
1222,1424,1223,Griezzman,20,mf,1.0
1223,145,1224,Nozzi,10,fw,1.0
1224,401,1225,Zirulboy,20,mf,1.0
1225,657,1226,rilkezoka,10,fw,1.0
1226,913,1227,Lucas,10,fw,1.0
1227,1425,1228,1Jose,20,mf,1.0
1228,146,1229,Mako,10,fw,1.0
1229,402,1230,m3llys,20,mf,1.0
1230,658,1231,Haaland_GOD,10,fw,1.0
1231,914,1232,Vinnie,10,fw,1.0
1232,1170,1233,Alicia1,10,fw,1.0
1233,147,1234,Defender,30,df,1.0
1234,659,1235,el..pichulo,10,fw,1.0
1235,1171,1236,RodriPRAH,10,fw,1.0
1236,1428,1237,MasterYoda,20,mf,1.0
1237,405,1238,sorionxd,20,mf,1.0
1238,917,1239,Ipswich,10,fw,1.0
1239,662,1240,Bolatti,10,fw,1.0
1240,918,1241,elgoleador,10,fw,1.0
1241,1174,1242,Hugo,10,fw,1.0
1242,1430,1243,Joshie,10,fw,1.0
1243,407,1244,alexsei111,10,fw,1.0
